stock_symbol,stock_name
WDFC,WD-40 Company
DOOR,Masonite International Corporation
EVH,"Evolent Health, Inc"
AEL,American Equity Investment Life Holding Company
OLP,"One Liberty Properties, Inc."
ACOR,"Acorda Therapeutics, Inc."
DDC,Dominion Diamond Corporation
NAO,Nordic American Offshore Ltd
FOXF,Fox Factory Holding Corp.
PSB^T,"PS Business Parks, Inc."
TMO,Thermo Fisher Scientific Inc
SXC,"SunCoke Energy, Inc."
TGT,Target Corporation
NTRSP,Northern Trust Corporation
STAR^D,iStar Financial Inc.
DYNC,Dynegy Inc.
FRBK,"Republic First Bancorp, Inc."
SIMO,Silicon Motion Technology Corporation
SGC,"Superior Uniform Group, Inc."
FTXO,First Trust Nasdaq Bank ETF
CPHC,Canterbury Park Holding Corporation
SKM,"SK Telecom Co., Ltd."
ADI,"Analog Devices, Inc."
ZION,Zions Bancorporation
FOXF,Fox Factory Holding Corp.
FNSR,Finisar Corporation
FCSC,Fibrocell Science Inc
ABRN,Arbor Realty Trust
AWP,Alpine Global Premier Properties Fund
LZB,La-Z-Boy Incorporated
ANDAU,Andina Acquisition Corp. II
GHM,Graham Corporation
BVXV,BiondVax Pharmaceuticals Ltd.
ABY,Atlantica Yield plc
DSX,Diana Shipping inc.
LADR,Ladder Capital Corp
MLVF,"Malvern Bancorp, Inc."
EWZS,iShares MSCI Brazil Small-Cap ETF
ALDW,"Alon USA Partners, LP"
ESG,FlexShares STOXX US ESG Impact Index Fund
NTEST,NASDAQ TEST STOCK
VVI,Viad Corp
CATH,Global X S&P 500 Catholic Values ETF
SIEN,"Sientra, Inc."
VTRB,"Ventas Realty, Limited Partnership // Ventas Capital Corporati"
TIF,Tiffany & Co.
FIBK,"First Interstate BancSystem, Inc."
KMI,"Kinder Morgan, Inc."
EXA,Exa Corporation
CCS,"Century Communities, Inc."
RFT,RAIT Financial Trust
VBFC,Village Bank and Trust Financial Corp.
URRE,"Uranium Resources, Inc."
AAV,Advantage Oil & Gas Ltd
COKE,Coca-Cola Bottling Co. Consolidated
FDIV,First Trust Strategic Income ETF
VKTXW,"Viking Therapeutics, Inc."
MESO,Mesoblast Limited
BLD,TopBuild Corp.
OMED,"OncoMed Pharmaceuticals, Inc."
MAN,ManpowerGroup
FAAR,First Trust Alternative Absolute Return Strategy ETF
EOD,Wells Fargo Global Dividend Opportunity Fund
JASNW,"Jason Industries, Inc."
DMPI,"DelMar Pharmaceuticals, Inc."
FAST,Fastenal Company
ECOL,"US Ecology, Inc."
AGYS,"Agilysys, Inc."
ZION,Zions Bancorporation
BDJ,Blackrock Enhanced Equity Dividend Trust
FTEK,"Fuel Tech, Inc."
NIQ,Nuveenn Intermediate Duration Quality Municipal Term Fund
MIC,Macquarie Infrastructure Company
AHL^D,Aspen Insurance Holdings Limited
SFL,Ship Finance International Limited
CBT,Cabot Corporation
DCTH,"Delcath Systems, Inc."
CELP,"Cypress Energy Partners, L.P."
ALDR,"Alder BioPharmaceuticals, Inc."
MULE,"MuleSoft, Inc."
SYT,Syngenta AG
WNC,Wabash National Corporation
PPT,Putnam Premier Income Trust
HIIQ,"Health Insurance Innovations, Inc."
KFRC,"Kforce, Inc."
SYMX,"Synthesis Energy Systems, Inc."
GPK,Graphic Packaging Holding Company
RIBT,RiceBran Technologies
OACQ,Origo Acquisition Corporation
ESND,Essendant Inc.
ESNT,Essent Group Ltd.
GYC,Corporate Asset Backed Corp CABCO
ZBIO,ProShares UltraPro Short NASDAQ Biotechnology
GPN,Global Payments Inc.
NNA,Navios Maritime Acquisition Corporation
SWFT,Swift Transportation Company
NLS,"Nautilus Group, Inc. (The)"
TLLP,Tesoro Logistics LP
HCA,"HCA Healthcare, Inc."
ENR,"Energizer Holdings, Inc."
